Date : 2025-08-08 13:18:35
Directory : d:\Code Files\vscode
Total : 481 files,  67822 codes, 24439 comments, 10322 blanks, all 102583 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Code Files\vscode\CCpp\cmake-projects\build\compile_commands.json                                                                       | JSON               |         20 |          0 |          0 |         20 |
| d:\Code Files\vscode\CCpp\cmake-projects\include\CSVReader.h                                                                               | C++                |         35 |          1 |          5 |         41 |
| d:\Code Files\vscode\CCpp\cmake-projects\include\InputValidator.h                                                                          | C++                |        149 |         10 |         18 |        177 |
| d:\Code Files\vscode\CCpp\cmake-projects\include\mysql_db.h                                                                                | C++                |         32 |          0 |          9 |         41 |
| d:\Code Files\vscode\CCpp\cmake-projects\include\users.cpp                                                                                 | C++                |         15 |          0 |          1 |         16 |
| d:\Code Files\vscode\CCpp\cmake-projects\include\users.h                                                                                   | C++                |         13 |          0 |          1 |         14 |
| d:\Code Files\vscode\CCpp\cmake-projects\src\CSVReader.cpp                                                                                 | C++                |        110 |          1 |         18 |        129 |
| d:\Code Files\vscode\CCpp\cmake-projects\src\InputValidator.cpp                                                                            | C++                |          0 |          0 |          1 |          1 |
| d:\Code Files\vscode\CCpp\cmake-projects\src\main.cpp                                                                                      | C++                |          9 |          0 |          2 |         11 |
| d:\Code Files\vscode\CCpp\cmake-projects\src\mysql_db.cpp                                                                                  | C++                |         92 |          0 |         16 |        108 |
| d:\Code Files\vscode\CCpp\modernCpp\cpp20feature.cpp                                                                                       | C++                |        134 |         16 |         10 |        160 |
| d:\Code Files\vscode\CCpp\modernCpp\learn.cpp                                                                                              | C++                |         57 |        115 |         34 |        206 |
| d:\Code Files\vscode\CCpp\modernCpp\temp.cpp                                                                                               | C++                |          7 |          0 |          0 |          7 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\CMakeLists.txt                                                                           | CMake              |         37 |          2 |          4 |         43 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\CMakePresets.json                                                                        | JSON               |         79 |          0 |          0 |         79 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\query\client-vscode\query.json                                       | JSON               |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\cache-v2-6a9b56cd99651544f617.json                             | JSON               |      2,423 |          0 |          1 |      2,424 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\cmakeFiles-v1-4f0ab570b1ad15ab93ad.json                        | JSON               |      1,472 |          0 |          1 |      1,473 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\codemodel-v2-232d73299f489c5a04c1.json                         | JSON               |        264 |          0 |          1 |        265 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json                    | JSON               |         14 |          0 |          1 |         15 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\directory-.-MinSizeRel-d0094a50bb2071803777.json               | JSON               |         14 |          0 |          1 |         15 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\directory-.-RelWithDebInfo-d0094a50bb2071803777.json           | JSON               |         14 |          0 |          1 |         15 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\directory-.-Release-d0094a50bb2071803777.json                  | JSON               |         14 |          0 |          1 |         15 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\index-2025-08-03T06-34-02-0471.json                            | JSON               |        133 |          0 |          1 |        134 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ALL_BUILD-Debug-7c4a625073d14f36083c.json               | JSON               |         36 |          0 |          1 |         37 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ALL_BUILD-MinSizeRel-7c4a625073d14f36083c.json          | JSON               |         36 |          0 |          1 |         37 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ALL_BUILD-RelWithDebInfo-7c4a625073d14f36083c.json      | JSON               |         36 |          0 |          1 |         37 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ALL_BUILD-Release-7c4a625073d14f36083c.json             | JSON               |         36 |          0 |          1 |         37 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-BookManagePlus-Debug-c1e8a19f8feb5bf62daa.json          | JSON               |        593 |          0 |          1 |        594 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-BookManagePlus-MinSizeRel-f32c262b2618d8264ec9.json     | JSON               |        593 |          0 |          1 |        594 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-BookManagePlus-RelWithDebInfo-36da56472c15f08b20a1.json | JSON               |        593 |          0 |          1 |        594 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-BookManagePlus-Release-a1323ea82fd10d50ed0b.json        | JSON               |        593 |          0 |          1 |        594 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ZERO_CHECK-Debug-93a7cae917929ede4d3e.json              | JSON               |         45 |          0 |          1 |         46 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ZERO_CHECK-MinSizeRel-93a7cae917929ede4d3e.json         | JSON               |         45 |          0 |          1 |         46 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ZERO_CHECK-RelWithDebInfo-93a7cae917929ede4d3e.json     | JSON               |         45 |          0 |          1 |         46 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ZERO_CHECK-Release-93a7cae917929ede4d3e.json            | JSON               |         45 |          0 |          1 |         46 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\toolchains-v1-3571e7675515c2ff03e9.json                        | JSON               |         78 |          0 |          1 |         79 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\ALL_BUILD.vcxproj                                                                  | XML                |        185 |          0 |          0 |        185 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\BookManagePlus.vcxproj                                                             | XML                |        412 |          0 |          0 |        412 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeCache.txt                                                                     | CMake Cache        |        505 |          0 |        152 |        657 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CMakeCCompiler.cmake                                              | CMake              |         68 |          1 |         16 |         85 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CMakeCXXCompiler.cmake                                            | CMake              |         81 |          2 |         22 |        105 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CMakeRCCompiler.cmake                                             | CMake              |          6 |          0 |          1 |          7 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CMakeSystem.cmake                                                 | CMake              |         11 |          0 |          5 |         16 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdCXX\CMakeCXXCompilerId.cpp                              | C++                |        708 |         62 |        151 |        921 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdCXX\CompilerIdCXX.vcxproj                               | XML                |         60 |          0 |         13 |         73 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdCXX\Debug\vcpkg.applocal.log                            | Log                |          0 |          0 |          2 |          2 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdC\CMakeCCompilerId.c                                    | C                  |        690 |         61 |        155 |        906 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdC\CompilerIdC.vcxproj                                   | XML                |         60 |          0 |         13 |         73 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdC\Debug\vcpkg.applocal.log                              | Log                |          0 |          0 |          2 |          2 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\VCTargetsPath.vcxproj                                             | XML                |         31 |          0 |          1 |         32 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\CMakeConfigureLog.yaml                                                  | YAML               |        484 |          0 |         55 |        539 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\InstallScripts.json                                                     | JSON               |          7 |          0 |          1 |          8 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\ZERO_CHECK.vcxproj                                                                 | XML                |        179 |          0 |          0 |        179 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\cmake_install.cmake                                                                | CMake              |         45 |          5 |          7 |         57 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\configs\all_text.json                                                                    | JSON               |          3 |          0 |          0 |          3 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\include\CLI11\CLI11.hpp                                                                  | C++                |      8,366 |      1,597 |      1,565 |     11,528 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\include\CLIEntry.h                                                                       | C++                |          8 |          0 |          1 |          9 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\include\MySQLDB.h                                                                        | C++                |         85 |          8 |         13 |        106 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\include\email_sender.h                                                                   | C++                |         27 |          3 |          4 |         34 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\include\identities.h                                                                     | C++                |         48 |          2 |         10 |         60 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\include\menu.h                                                                           | C++                |         16 |          0 |          2 |         18 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\include\service_locator.h                                                                | C++                |         38 |          4 |          5 |         47 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\include\utils.h                                                                          | C++                |        304 |         12 |         34 |        350 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\scripts\emailSender.py                                                                   | Python             |         34 |          4 |          8 |         46 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\scripts\email_sender_cli.py                                                              | Python             |         85 |          1 |         15 |        101 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\scripts\today_weather.py                                                                 | Python             |         22 |          1 |          9 |         32 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\src\CLIEntry.cpp                                                                         | C++                |          4 |          0 |          2 |          6 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\src\MySQLDB.cpp                                                                          | C++                |        110 |         11 |         16 |        137 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\src\email_sender.cpp                                                                     | C++                |        160 |         14 |         30 |        204 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\src\identities.cpp                                                                       | C++                |        247 |          8 |         17 |        272 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\src\main.cpp                                                                             | C++                |         29 |         13 |         10 |         52 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\src\menu.cpp                                                                             | C++                |        108 |          7 |          6 |        121 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\src\utils.cpp                                                                            | C++                |        188 |         20 |         38 |        246 |
| d:\Code Files\vscode\CCpp\projects\BookManagePlus\todo.md                                                                                  | Markdown           |          7 |          0 |          0 |          7 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\CMakeLists.txt                                                                            | CMake              |          7 |          0 |          3 |         10 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\.cmake\api\v1\query\client-vscode\query.json                                        | JSON               |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\.cmake\api\v1\reply\cache-v2-936e1caf38c35b812f7a.json                              | JSON               |      1,591 |          0 |          1 |      1,592 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\.cmake\api\v1\reply\cmakeFiles-v1-0557652123101ef8fcb1.json                         | JSON               |        229 |          0 |          1 |        230 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\.cmake\api\v1\reply\codemodel-v2-01339547192c2d36d12f.json                          | JSON               |         60 |          0 |          1 |         61 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json                     | JSON               |         14 |          0 |          1 |         15 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\.cmake\api\v1\reply\index-2025-07-18T08-40-47-0484.json                             | JSON               |        132 |          0 |          1 |        133 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\.cmake\api\v1\reply\target-CLI11learning-Debug-6cdc2cba38e8b62e3667.json            | JSON               |        124 |          0 |          1 |        125 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\.cmake\api\v1\reply\toolchains-v1-c5a7cb7b2870dc559920.json                         | JSON               |        138 |          0 |          1 |        139 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeCache.txt                                                                      | CMake Cache        |        397 |          0 |         93 |        490 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeFiles\4.0.3\CMakeCCompiler.cmake                                               | CMake              |         66 |          1 |         18 |         85 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeFiles\4.0.3\CMakeCXXCompiler.cmake                                             | CMake              |         80 |          3 |         26 |        109 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeFiles\4.0.3\CMakeRCCompiler.cmake                                              | CMake              |          6 |          0 |          1 |          7 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeFiles\4.0.3\CMakeSystem.cmake                                                  | CMake              |         11 |          0 |          5 |         16 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeFiles\4.0.3\CompilerIdCXX\CMakeCXXCompilerId.cpp                               | C++                |        708 |         62 |        151 |        921 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeFiles\4.0.3\CompilerIdC\CMakeCCompilerId.c                                     | C                  |        690 |         61 |        155 |        906 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeFiles\CLI11learning.dir\DependInfo.cmake                                       | CMake              |         11 |          6 |          7 |         24 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeFiles\CLI11learning.dir\cmake_clean.cmake                                      | CMake              |         11 |          1 |          2 |         14 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeFiles\CLI11learning.dir\compiler_depend.ts                                     | TypeScript         |          2 |          0 |          1 |          3 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeFiles\CMakeConfigureLog.yaml                                                   | YAML               |        638 |          4 |         32 |        674 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeFiles\CMakeDirectoryInformation.cmake                                          | CMake              |          7 |          5 |          5 |         17 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeFiles\InstallScripts.json                                                      | JSON               |          7 |          0 |          1 |          8 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\CMakeFiles\Makefile.cmake                                                           | CMake              |         52 |          7 |          6 |         65 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\Makefile                                                                            | Makefile           |         87 |         47 |         47 |        181 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\cmake_install.cmake                                                                 | CMake              |         48 |          6 |          8 |         62 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\build\compile_commands.json                                                               | JSON               |          8 |          0 |          0 |          8 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\include\CLI11.hpp                                                                         | C++                |      8,366 |      1,597 |      1,565 |     11,528 |
| d:\Code Files\vscode\CCpp\projects\CLI11learning\src\main.cpp                                                                              | C++                |         23 |          4 |          5 |         32 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\CMakeLists.txt                                                                         | CMake              |         13 |          0 |          4 |         17 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\.cmake\api\v1\query\client-vscode\query.json                                     | JSON               |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\.cmake\api\v1\reply\cache-v2-2c183f28c3c5b0d381a7.json                           | JSON               |      2,315 |          0 |          1 |      2,316 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\.cmake\api\v1\reply\cmakeFiles-v1-f2a563fcf5814626e002.json                      | JSON               |        229 |          0 |          1 |        230 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\.cmake\api\v1\reply\codemodel-v2-bff73de103c09b9e4271.json                       | JSON               |         60 |          0 |          1 |         61 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json                  | JSON               |         14 |          0 |          1 |         15 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\.cmake\api\v1\reply\index-2025-07-28T16-16-31-0257.json                          | JSON               |        132 |          0 |          1 |        133 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\.cmake\api\v1\reply\target-CodeLinesCounter-Debug-06d028eee932a4d6e13f.json      | JSON               |        148 |          0 |          1 |        149 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\.cmake\api\v1\reply\toolchains-v1-9db770237144eeb6b911.json                      | JSON               |        138 |          0 |          1 |        139 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeCache.txt                                                                   | CMake Cache        |        515 |          0 |        151 |        666 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeFiles\4.0.3\CMakeCCompiler.cmake                                            | CMake              |         66 |          1 |         18 |         85 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeFiles\4.0.3\CMakeCXXCompiler.cmake                                          | CMake              |         80 |          3 |         26 |        109 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeFiles\4.0.3\CMakeRCCompiler.cmake                                           | CMake              |          6 |          0 |          1 |          7 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeFiles\4.0.3\CMakeSystem.cmake                                               | CMake              |         11 |          0 |          5 |         16 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeFiles\4.0.3\CompilerIdCXX\CMakeCXXCompilerId.cpp                            | C++                |        708 |         62 |        151 |        921 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeFiles\4.0.3\CompilerIdC\CMakeCCompilerId.c                                  | C                  |        690 |         61 |        155 |        906 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeFiles\CMakeConfigureLog.yaml                                                | YAML               |        689 |          4 |         35 |        728 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeFiles\CMakeDirectoryInformation.cmake                                       | CMake              |          7 |          5 |          5 |         17 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeFiles\CodeLinesCounter.dir\DependInfo.cmake                                 | CMake              |         14 |          6 |          7 |         27 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeFiles\CodeLinesCounter.dir\cmake_clean.cmake                                | CMake              |         17 |          1 |          2 |         20 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeFiles\CodeLinesCounter.dir\compiler_depend.ts                               | TypeScript         |          2 |          0 |          1 |          3 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeFiles\InstallScripts.json                                                   | JSON               |          7 |          0 |          1 |          8 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\CMakeFiles\Makefile.cmake                                                        | CMake              |         52 |          7 |          6 |         65 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\Makefile                                                                         | Makefile           |        141 |         56 |         65 |        262 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\cmake_install.cmake                                                              | CMake              |         48 |          6 |          8 |         62 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\build\compile_commands.json                                                            | JSON               |         26 |          0 |          0 |         26 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\include\CLI11\CLI11.hpp                                                                | C++                |      8,366 |      1,597 |      1,565 |     11,528 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\include\CLI_parser.h                                                                   | C++                |         27 |          0 |          2 |         29 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\include\counter.h                                                                      | C++                |         28 |          0 |          6 |         34 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\include\filter.h                                                                       | C++                |         24 |          7 |          6 |         37 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\src\CLI_parser.cpp                                                                     | C++                |         96 |          0 |          9 |        105 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\src\counter.cpp                                                                        | C++                |         87 |         13 |          8 |        108 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\src\filter.cpp                                                                         | C++                |         64 |          2 |          6 |         72 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\src\main.cpp                                                                           | C++                |         25 |          0 |          2 |         27 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\test\innerFolder\run.bat                                                               | Batch              |         11 |          0 |          0 |         11 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\test\innerFolder\test.cpp                                                              | C++                |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\test\innerFolder\test.h                                                                | C++                |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\test\innerFolder\test.java                                                             | Java               |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\test\innerFolder\test.json                                                             | JSON               |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\test\innerFolder\test.log                                                              | Log                |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\test\innerFolder\test.md                                                               | Markdown           |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\test\test.cpp                                                                          | C++                |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\test\test.h                                                                            | C++                |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\test\test.java                                                                         | Java               |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\test\test.json                                                                         | JSON               |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\test\test.log                                                                          | Log                |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\test\test.md                                                                           | Markdown           |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\CCpp\projects\CodeLinesCounter\todo.md                                                                                | Markdown           |          2 |          0 |          0 |          2 |
| d:\Code Files\vscode\CCpp\projects\DirectoryFromText\CLI_version.cpp                                                                       | C++                |        161 |         11 |         32 |        204 |
| d:\Code Files\vscode\CCpp\projects\DirectoryFromText\hardcode_version.cpp                                                                  | C++                |        159 |         13 |         34 |        206 |
| d:\Code Files\vscode\CCpp\projects\cpp-emain\sender.py                                                                                     | Python             |         28 |          8 |          6 |         42 |
| d:\Code Files\vscode\Docker\Dockerfile                                                                                                     | Docker             |          3 |          0 |          0 |          3 |
| d:\Code Files\vscode\Docker\node.js                                                                                                        | JavaScript         |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\Drafts\CCppOutput\test.cpp                                                                                            | C++                |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\Drafts\CCppOutput\test.h                                                                                              | C++                |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\Drafts\CCppOutput\test.java                                                                                           | Java               |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\Drafts\CCppOutput\test.json                                                                                           | JSON               |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\Drafts\CCppOutput\test.log                                                                                            | Log                |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\Drafts\CCppOutput\test.md                                                                                             | Markdown           |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\Drafts\CLIScripts\clean_vscode_cache.bat                                                                              | Batch              |         24 |          4 |          5 |         33 |
| d:\Code Files\vscode\Drafts\CLIScripts\curDialog.ps1                                                                                       | PowerShell         |         50 |         11 |          6 |         67 |
| d:\Code Files\vscode\Drafts\CLIScripts\lastCommand.ps1                                                                                     | PowerShell         |         19 |          5 |          4 |         28 |
| d:\Code Files\vscode\Drafts\CLIScripts\lastCommandLog.ps1                                                                                  | PowerShell         |         21 |          6 |          5 |         32 |
| d:\Code Files\vscode\Drafts\CLIScripts\learnBatch.bat                                                                                      | Batch              |          4 |          1 |          0 |          5 |
| d:\Code Files\vscode\Drafts\CLIScripts\openFile.ps1                                                                                        | PowerShell         |         23 |         12 |          5 |         40 |
| d:\Code Files\vscode\Drafts\CLIScripts\reBuildDesktopIcons.bat                                                                             | Batch              |          5 |          0 |          0 |          5 |
| d:\Code Files\vscode\Drafts\CLIScripts\recordALL.ps1                                                                                       | PowerShell         |         26 |         14 |          4 |         44 |
| d:\Code Files\vscode\Drafts\inputFile.md                                                                                                   | Markdown           |         44 |          0 |         12 |         56 |
| d:\Code Files\vscode\Drafts\outputFile.md                                                                                                  | Markdown           |         32 |          0 |         21 |         53 |
| d:\Code Files\vscode\Drafts\temp.md                                                                                                        | Markdown           |      1,336 |          0 |          0 |      1,336 |
| d:\Code Files\vscode\Drafts\terminalLog\allRecords.log                                                                                     | Log                |          0 |          0 |          1 |          1 |
| d:\Code Files\vscode\Drafts\terminalLog\powershellLog_20250406_182527.log                                                                  | Log                |         13 |          0 |          6 |         19 |
| d:\Code Files\vscode\Drafts\terminalLog\powershellLog_20250406_183002.log                                                                  | Log                |         45 |          0 |         30 |         75 |
| d:\Code Files\vscode\HTML\Learning\GreedySnake.html                                                                                        | HTML               |        109 |          0 |         23 |        132 |
| d:\Code Files\vscode\HTML\Learning\LearnHTMLRunoob.html                                                                                    | HTML               |        228 |        103 |         18 |        349 |
| d:\Code Files\vscode\HTML\Learning\chicks.html                                                                                             | HTML               |        238 |          0 |         42 |        280 |
| d:\Code Files\vscode\HTML\Learning\test.html                                                                                               | HTML               |         12 |        711 |         12 |        735 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\LoginRegPage.css                                                            | PostCSS            |        322 |          0 |         48 |        370 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\LoginRegPage.html                                                           | HTML               |          0 |          0 |          1 |          1 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\LoginRegPage.js                                                             | JavaScript         |         61 |          7 |          9 |         77 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\components\MainLayout.html                                                  | HTML               |         37 |          2 |          0 |         39 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\components\Sidebar.css                                                      | PostCSS            |         50 |          0 |          0 |         50 |
